,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),F1 Score for class 5 (percent),F1 Score for class 6 (percent),F1 Score for class 7 (percent),F1 Score for class 8 (percent),F1 Score for class 9 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Precision for class 5 (percent),Precision for class 6 (percent),Precision for class 7 (percent),Precision for class 8 (percent),Precision for class 9 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),Recall for class 5 (percent),Recall for class 6 (percent),Recall for class 7 (percent),Recall for class 8 (percent),Recall for class 9 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent),FalseAlarmRate for class5 (percent),FalseAlarmRate for class6 (percent),FalseAlarmRate for class7 (percent),FalseAlarmRate for class8 (percent),FalseAlarmRate for class9 (percent)
20,AL-FixedUncertainty-MUOB-b0.2-,0.200483357,0,0,,,10,10,50.11161347,0,66.76580487,,,,,,,,,,50.11161347,,,,,,,,,,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
21,AL-VarUncertainty-MUOB-b0.2-,0.200483357,0,0,,,10,10,50.11161347,0,66.76580487,,,,,,,,,,50.11161347,,,,,,,,,,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
22,AL-RandVarUncertainty-MUOB-b0.2-,0.200483357,0,0,,,10,10,50.11161347,0,66.76580487,,,,,,,,,,50.11161347,,,,,,,,,,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
23,AL-SelSampling-MUOB-b0.2-,0.200483236,0,0,,,10,10,50.11161347,0,66.76580487,,,,,,,,,,50.11161347,,,,,,,,,,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
24,OALDI-b0.2-,0.251423358,80.62347846,30.36424006,,,39.53040453,4.520014897,75.02136394,54.70458307,82.31339471,70.43195932,31.3416663,61.64990214,76.36289202,26.72732359,22.78202458,49.54174996,,,78.32682049,72.43834496,46.0258976,72.16479194,94.7663331,30.21402891,39.20923795,78.54718241,8.890756303,,86.72778599,68.53424118,23.76724488,53.81506186,63.9875969,24.15811708,16.12984823,36.82051282,6.363636364,15,24.1053484,19.08616782,1.391318221,0.448710051,0.014007671,0.113746218,0.03609838,0.002617593,0.001640155,0.000494453
25,OALE-b0.2-,0.279623155,83.55086972,0,,,35.31361892,3.631791221,79.96212016,63.52579075,86.51185561,76.79784758,32.04007908,62.38147578,73.26922236,13.29293491,18.59992609,35.1542277,,,82.85297059,77.58321927,55.51202706,76.66604397,89.12187035,19.23327661,38.9047021,85.27681789,,,90.51310869,76.03456935,22.53550416,52.64181062,62.35968992,10.54918527,12.30185497,22.56410256,3.636363636,0,18.81595455,16.09125372,0.908164286,0.342162975,0.029661879,0.099813424,0.028018816,0.001037387,0.001845174,0
26,CALF-MID-b0.2-,0.19752364,82.70884803,0,,,44.57730388,1.789083876,89.79144984,81.65222866,94.1450885,88.68357863,57.29310373,72.90709632,75.37952108,59.16288081,24.4155863,21.03326531,,,93.3490894,86.87125204,77.47618171,83.52532638,84.02364351,76.59803022,37.21310366,44.80048173,,,94.9570424,90.57478612,45.53154798,64.74203295,69.04806202,48.34037417,18.27150084,14.30769231,0,0,6.80725207,10.0187562,0.6503294,0.273920114,0.057883038,0.029629844,0.04476972,0.005090434,0.001772814,0.00143512
27,AL-FixedUncertainty-LB-b0.25-,0.249720514,72.14204867,0,,,28.33867914,5.016443863,72.44025273,49.63721088,79.28986522,69.15282993,21.92354536,45.67799564,55.41584075,16.34450471,14.921382,26.81068762,,,77.09127393,68.39083391,55.97625881,61.70866809,81.23194217,29.1267626,33.13195465,95.90799588,,,81.93042072,70.3556243,13.66707243,37.50926401,42.73178295,11.84671092,9.704890388,15.64102564,0,0,24.52679035,24.31202548,0.537752178,0.640551462,0.049674567,0.068201812,0.02862267,0.000156814,0.000337679,0.000325615
28,AL-VarUncertainty-LB-b0.25-,0.250452303,75.77380376,0,,,32.47550957,4.371632543,76.11855268,56.26585096,83.38186516,71.9657909,27.56888225,49.01952493,71.23103259,32.62524832,17.35771588,23.76824107,,,78.86911881,73.51020404,55.65027537,63.95634865,92.63146859,48.82661507,36.73557831,89.17274353,,,88.44724518,70.49114506,18.3249645,39.75086939,57.91627907,24.54435727,11.38279933,13.8974359,0,0,23.8127999,18.59119628,0.728997973,0.484673385,0.018124013,0.05136887,0.028296589,0.000446318,0.000422099,0
29,AL-RandVarUncertainty-LB-b0.25-,0.250452423,76.81677872,0,,,31.37532305,4.636199959,74.63858582,53.58404624,82.30661057,69.95116578,26.35183393,48.55045828,66.09319251,21.67893043,17.64616997,28.56071862,,,77.42631077,72.24952317,50.99384999,60.40483735,86.27883964,34.01468502,28.63643661,83.74047353,,,87.84502053,67.79622517,17.77033881,40.60543869,53.62170543,15.95654798,12.82462057,17.33333333,0,0,25.72804738,19.05968357,0.853072227,0.576879482,0.033632938,0.062715699,0.046545051,0.000759946,0.000482398,0.000180897
