,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgEvaluatTimeS,avgModelTimeH,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),F1 Score for class 5 (percent),F1 Score for class 6 (percent),F1 Score for class 7 (percent),F1 Score for class 8 (percent),F1 Score for class 9 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Precision for class 5 (percent),Precision for class 6 (percent),Precision for class 7 (percent),Precision for class 8 (percent),Precision for class 9 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),Recall for class 5 (percent),Recall for class 6 (percent),Recall for class 7 (percent),Recall for class 8 (percent),Recall for class 9 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent),FalseAlarmRate for class5 (percent),FalseAlarmRate for class6 (percent),FalseAlarmRate for class7 (percent),FalseAlarmRate for class8 (percent),FalseAlarmRate for class9 (percent)
27,AL-FixedUncertainty-LB-b0.25-,0.24972051408524593,72.14204867395185,0.0,,,28.338679135354027,5.016443863405749,31.5234375,6.74041180496311e-06,72.44025272521381,49.63721087543068,79.28986521516522,69.15282992522148,21.923545358799327,45.67799564279215,55.41584074573378,16.344504713554162,14.921381996912848,26.8106876197814,,,77.0912739338926,68.39083390607082,55.97625881443396,61.708668087166004,81.2319421655423,29.126762604755395,33.13195464729092,95.90799587953288,,,81.93042071976242,70.35562429728388,13.66707242848448,37.50926401003363,42.731782945736434,11.846710923355463,9.704890387858349,15.64102564102564,0.0,0.0,24.526790354747085,24.31202548169808,0.5377521781685531,0.6405514624350097,0.049674566815500684,0.06820181162572625,0.028622669879168856,0.00015681430532469006,0.0003376789396881294,0.000325615443337486
28,AL-VarUncertainty-LB-b0.25-,0.2504523028795189,75.77380375868961,0.0,,,32.475509569423494,4.37163254319605,31.7171875,4.652950217455834e-06,76.11855267902475,56.26585096483309,83.3818651573686,71.96579089694715,27.5688822466151,49.01952492513469,71.23103259152944,32.6252483224536,17.357715876060837,23.768241071587966,,,78.86911881057246,73.51020403989392,55.65027536685547,63.956348653271014,92.63146858661126,48.826615069329975,36.735578313465496,89.17274353356797,,,88.44724517840038,70.49114506343707,18.32496449584094,39.75086939171085,57.91627906976744,24.544357272178637,11.382799325463742,13.897435897435898,0.0,0.0,23.812799903305734,18.591196282178476,0.7289979728249654,0.484673385407683,0.0181240132885217,0.05136886981236042,0.028296588829912504,0.0004463176382318102,0.00042209867461016177,0.0
29,AL-RandVarUncertainty-LB-b0.25-,0.2504524234775404,76.81677872393131,0.0,,,31.375323050308243,4.636199958633556,33.0890625,4.274296225048601e-06,74.63858581936105,53.5840462383177,82.30661056514329,69.95116577957828,26.351833928414578,48.55045827707581,66.09319251114685,21.678930432738632,17.64616996514124,28.560718624198408,,,77.42631077414345,72.24952316944832,50.99384998509053,60.40483735426077,86.27883964289789,34.014685018041504,28.63643661210754,83.740473529425,,,87.84502052819799,67.7962251659409,17.770338811117874,40.605438686505906,53.621705426356584,15.956547978273985,12.82462057335582,17.333333333333336,0.0,0.0,25.728047380189764,19.059683567437737,0.8530722274487857,0.5768794815563169,0.03363293848731682,0.06271569850062353,0.04654505051236994,0.0007599462488811902,0.0004823984852687562,0.00018089746852082548
30,AL-SelSampling-LB-b0.25-,0.24943035524559182,77.01356778613257,0.0,,,31.81284051625321,4.597378317022521,35.603125,4.645652810318601e-06,74.9008865160558,54.04051870735956,82.46087087928548,70.22029279192301,27.488394075518322,49.17795312181984,66.54474585247137,22.305318676971364,18.897470270688018,29.99508760463375,,,77.35580493685781,72.86648615379428,52.49746248419065,61.831126646846904,87.68963131313572,39.08138586276867,27.19073892641805,84.77060524130866,,,88.29428242757373,67.76911530537117,18.62928585920065,40.855709480645345,53.665116279069764,15.678937839468919,14.620573355817877,18.615384615384613,0.0,0.0,25.97386837493201,18.472998799018324,0.8426261349837738,0.5466697878422,0.029746627020639828,0.049048751486325794,0.05676225672240236,0.0008323220821079702,0.0012301161374353284,0.0
31,AL-FixedUncertainty-BOLE-b0.25-,0.11028351388867112,54.9924842996364,0.0,,,16.345445011725925,8.867385048269524,37.5375,5.390168749727308e-06,49.905788825628534,11.250860693647837,40.85808831954954,57.30107663423674,15.41029115407927,20.150992086205047,21.269619142422595,6.535943639838701,6.651098214984063,,,,64.01395428038737,45.99460691541479,50.07870006712412,79.82258982264105,95.93689442767997,21.834027211073828,42.37077036100861,,,,32.85503193542642,77.30490888233179,9.40657334144857,12.040362579100393,12.158139534883722,7.55582377791189,3.979763912310287,8.153846153846153,0.0,0.0,20.343288813682236,67.10421387917079,0.48895309894412164,0.09734371534879135,0.003934739023894157,0.6242689210483067,0.01161814701424491,0.00013268902758243006,7.235977279031346e-05,2.4119662469443398e-05
32,AL-VarUncertainty-BOLE-b0.25-,0.2504526646735833,76.54926556374825,0.0,,,33.571284715722776,4.575195370946619,56.7953125,1.1838517219681913e-05,74.43441336901427,53.93849081755077,81.44817977520484,70.4018984518758,39.92769906605021,51.493526586793244,74.20201350823666,28.715254299524553,19.627866643105804,21.63489060894453,,,79.16078334499204,70.75025846862277,47.09309196966249,74.21890765815,95.90913414812545,45.14723403941862,36.1903100788973,88.72486207748629,,,83.88286172225084,70.07293979328018,34.73879082978292,39.42876688900291,60.58294573643411,21.08026554013277,13.516020236087687,12.410256410256409,0.0,0.0,22.202598658367076,21.204052007728055,1.9526595751415918,0.2959983244215558,0.010072931901169044,0.05115135871929468,0.03450420584168161,0.0004101297216184202,0.0004341586367418807,7.235898740833022e-05
33,AL-RandVarUncertainty-BOLE-b0.25-,0.2504523028795189,76.8832864605672,0.0,,,33.96202464831908,4.593742365080983,57.9296875,8.688473815305366e-06,74.18739244163962,53.661192936431725,81.28833577114251,70.07344924290211,40.68035884303838,53.34762621092987,75.1132054337728,21.26423547982767,20.14657071802454,27.290397999681772,,,79.30536826690269,70.42007019368772,45.70081202270538,71.72542300339816,95.43195624030825,36.672777122430496,35.22636264037334,87.58238074884972,,,83.37511972776673,69.73332458208009,36.6661594643944,42.46850236588564,61.937984496124024,15.009052504526252,14.173693086003372,16.256410256410255,0.0,0.0,21.855345379827156,21.44170017231476,2.1760919965205017,0.3619003030825716,0.011562079285596676,0.05199723519232814,0.03781332463783869,0.0005548813880719802,0.0004582785610053184,0.0
34,AL-SelSampling-BOLE-b0.25-,0.2497121928217645,76.99693867267023,0.0,,,33.86870306050449,4.623337463227719,59.3359375,9.653097316105331e-06,74.06932697862159,53.40413432775269,81.18436943701042,69.89791066230123,40.2871785040166,53.65728507684376,73.6514997706509,21.31680487341053,19.571298867882803,30.474232606771267,,,79.0288082231634,70.3723082220892,45.74223926944726,72.6074850290394,95.1654774854324,37.140080200857696,34.160306151173074,92.42068965517242,,,83.46454854810528,69.43357513426515,36.02023737066342,42.558006955133685,60.08992248062016,14.966807483403741,13.743676222596964,18.410256410256416,0.0,0.0,22.251670997763945,21.398026212730407,2.135029356685309,0.3473129142744499,0.011925285964725366,0.05034173409510553,0.03815148276299342,0.0004101297216184201,0.0004944584474004751,1.2059831234721699e-05
35,AL-FixedUncertainty-DACC-b0.25-,0.002073682979157044,50.650675616000164,0.0,,,11.17927096932608,9.450237566263636,9.621875,4.863968060817569e-07,46.85414031097405,5.1995799486858045,35.88608577066841,56.32105669794462,0.09780391500224425,1.487817222746618,4.983224579499382,2.762446148911412,,,,,57.95433871228322,43.742625862971536,59.91926703204898,61.681786341259944,99.8294069250236,3.133373419780578,,,,,26.541925174357324,79.31540467887658,0.048945019273686344,0.7981300952055184,2.6139534883720934,2.474351237175619,0.0,0.0,0.0,0.0,19.489188372514654,74.7440864706804,0.0016966986549231482,0.11449375354212354,3.6320667912869134e-05,0.1528740465763754,0.0,0.0,0.0,0.0
36,AL-VarUncertainty-DACC-b0.25-,0.25045206168347595,67.70051043934757,0.0,,,31.85073761978588,4.63691362269004,18.7140625,1.0252969190737026e-06,74.21990566822761,53.35404772787315,81.46505061884707,70.0914207279786,34.496519153546444,54.875304253201854,66.70784397238376,11.479040263873511,18.763546302027397,29.44789298917567,,,78.43647615421196,70.94062123376305,45.27453417197243,74.80925706487646,95.19445161245758,12.084169590549552,34.82319652988126,83.8706070044905,,,84.73695990142615,69.26241203563663,27.864678433759387,43.3304828687076,51.37674418604651,10.941460470730235,12.892074198988194,18.102564102564102,0.0,0.0,23.399915392518285,20.76614276016918,1.6817195914248344,0.31541532168642045,0.01019400079421194,0.15931479172104443,0.03473367028375089,0.0011097627761439605,0.0003497389018198482,0.00024119662469443398
